Content Type,Size,Content Title,Content,Designer Name,Instructions For Designer,Reference Link/Image,Assigned By,Assigned Date,Completion Date,Design Status,Approval Status,Captions,Posting Status,Design Drive Link,,,,
Carousel,,Testimonial,"Grid 1
FES, 22 Years Logo
TESTIMONIAL
BEHIND EVERY SUCCESS IS A STORY & FES IS PROUD TO BE PART OF THOUSANDS
Become A Part Of Our Success Stories
www.fespak.com


Grid 2
FES, 22 Years Logo
Testimonial

Picture – Saad Jadoon
My journey with FES started in 2016 when I met CEO FES, Tehsin Shah and he encouraged me to apply to Seneca College in Toronto, Canada. Before approaching FES, I felt overwhelmed by the complex admission and visa process for Canadian Colleges. From my very first visit, FES demonstrated true professionalism and commitment. Mr. Tehsin, along with Mr. Imran Khalil patiently answered every question, helped me craft a strong application and even provided career pathways and possible roles post grad.

That marked the start of a lasting relationship. Mr. Tehsin has kept in touch ever since, and I’ve built a strong, respectful bond with him and the FES team.  FES guided me through a difficult time when I was an uncertain teenager, unsure about my future and direction. Today, I’ve built a life in Canada, achieved several personal goals, and recently graduated from the University of Ottawa. I’m looking forward to what comes next, with FES still part of the journey.

I wholeheartedly recommend FES Higher Education Consultants to anyone who dreams of studying abroad. They turned what felt impossible and complex process into a structured, successful journey.

www.fespak.com

Grid 3
Same as Grid 1
",Raheel,,,Insia,25 June,,,,A story that speaks for itself. We’re proud to have been part of this remarkable journey that began in 2016. What started as guidance during an uncertain time has grown into a lasting bond built on trust and success. Congratulations on all you’ve achieved and thank you for letting FES be a part of it.,Posted,,,,,
SM post,,Muharram,"FES, 22 Years Logo
Muharram-ul-Haram (In Arabic)
1447 AH
May the start of this new Islamic year awaken our souls toward what is right.
www.fespak.com
",Tayyaba,,,Insia,25 June,,Completed ,,"As the Islamic New Year begins with the sacred month of Muharram, we are reminded of the powerful legacy of sacrifice, patience and faith. May this Muharram bring peace to our hearts, strength to our souls and guide us towards a path of compassion and justice just like the timeless message of Karbala.",Posted,,,,,
Carousel,,Westminster,"Slide 1
University of Westminster
September 2025 Intake
Deadline Updates

Slide 2
Application Deadline 
14th July, 2025 (Midnight BST)
Conditional/Unconditional Deadline 
18th July, 2025
Deposit Deadline 
1st August, 2025

Slide 3
Apply Now 
Stay Ahead With The Latest Updates From International Universities By FES
Contact us 
0341 8454888
www.fespak.com
",Tayyaba,,,Insia,25 June,27 June,Completed ,,Deadlines sneaking up on you? The University of Westminster is now accepting applications for September 2025 — but time’s ticking. Don’t miss your chance! Know the key dates and apply with FES before it’s too late.,"Not Posted, deadline passed",,,,,
SM post,,UEA,"FES, 22 Years and University of East Anglia (UEA) Logo
Secure Your Spot at UEA and Save (small)
Avail the Early Payment Discount (Big font of Early Payment Discount)
Deadline: 27th June 2025 (mid font)

Apply now
0341 8454888
www.fespak.com
",Tayyaba,urgent,,Insia,25 June,,Completed ,,Secure your spot at the University of East Anglia (UEA) and save on tuition fees with the Early Payment Discount.,Posted,,,,,
Carousel,,FES UAE,"Grid 1
(Connect these points with the arrow from middle Grid(2)) (Can display these points in blocks/shapes)
Post Study Work Permit
Scholarships
Affordable Study Options


Grid 2
FES, 22 Years Logo
Study in the UK (Big Font, U can use flag as well)
(Arrows flowing from the flag or text to other grids and the points connected to the arrows)
<- All You Need To Know About September 2025 Intake ->
www.fesgateway.com


Grid 3
Part Time Work Options
Networking Opportunities
High Visa Rate",Tayyaba,Utilize the design attached. Use Same Color in all three designs. It will be made exactly like you made eid-ul-adha post,https://www.facebook.com/photo.php?fbid=1133730905464784&set=pb.100064836546780.-2207520000&type=3,Insia,25 June,,Completed ,,"Tired of binge-watching and ready to live your own UK story? Students are securing spots in UK with no IELTS, real scholarships and fast visa approvals? Your study abroad season starts now — swipe to choose your university and let FES direct the plot! ✨

Connect with us at
+971 50 551 9464
Visit us at: www.fesgateway.com
dubai@fesgateway.com

#fesuae #fesconsultants #studyabroad #studentvisa #consultnow #uk #unitedkingdom",Posted,,,,,
SM post,,WHY ENU?,"Fes, 22 Years and ENU Logo
Edinburgh Napier University 
Welcoming a large number of students from Pakistan for
September 2025 Intake

WHY ENU?
(Display in Boxes/shapes)
High Employability Rate

QS 5-Star Rated University
Teaching | Employability | Internationalization

Accredited Programs 
RICS | CIOB | CIMA | CIM | More

Placement & Internship Opportunities

Partnerships 
IBM | HSBC | Accenture | KPMG

MOI accepted

Scholarship
GBP 2000 for One Year Courses
GBP 1000 for Two Years Courses

Apply now
0341 8454888 | 0346 8454999
www.fespak.com
",Tayyaba,Urgent,https://www.pinterest.com/pin/711287334940092802/,Insia,26 June,,Completed ,,"Looking for results, not just a degree? Edinburgh Napier University delivers with a high employability rate, industry placements & international recognition. The plus point is that you don't need IELTS as MOI is acceptable. So, don't wait, applications are now open for the September 2025 intake. Apply now!",Posted,,,,,
SM post,,Why Stirling?,"FES, 22 Years and University of Stirling Logo
Reasons to Choose University of Stirling (Heading)
Ranked Among The Top 40 Universities In The UK
Top 30 In The UK For Student Satisfaction (NSS 2023).
Awarded 5 QS Stars 
Scholarship Upto GBP 7000 
Medium Of Instruction (MOI)
Globally Recognized


Offers Highly Relevant Postgraduate Courses (Sub Heading)
Data Science & Analytics
Finance & Investment
International Business
Sustainability & Environmental Management
Public Health, Sports Management.

Enroll For September 2025 Intake Now
0341 8454888 | 0346 8454999
www.fespak.com
",Akbar,Urgent. Follow the inspos if you can and merge the designs,"https://www.pinterest.com/pin/604608318764087613/
https://www.pinterest.com/pin/4151824651980349/",Insia,26 June,,Completed ,,"Explore career-focused postgraduate programs at a top-ranked UK university offering global recognition, high student satisfaction, and generous scholarships. Apply now for the September 2025 intake through FES.",Posted,,,,,
Carousel,,Why Portsmouth?,"Fes, 22 Years and UoP Logo
Slide 1
Why Choose University of Portsmouth?

Modern & Career-Focused University
Top 3 Modern University In The UK (Times Higher Education Young University Rankings).
Rated Gold In Teaching Excellence Framework (TEF 2023) For High-Quality Teaching And Student Outcomes.
Ranked In The Top 150 Globally Under 50 Years Old
94% Graduate Employment Rate Within 15 Months (HESA)
MOI Accepted
Free Duolingo Voucher
Scholarship Upto GBP 5000 (*T&C Apply)

Slide 2
Popular Courses Among International Students
MBA
MSc Data Analytics
MSc Cybersecurity
MSc Engineering Management
MSc Construction Project Management
MSc International Business & Finance
LLM International Law & Legal Studies

Slide 3
In Addition…
University of Portsmouth Provides Student Career Support for 5 Years Post-Graduation that Includes Tier 2 Sponsorship Guidance
Deposit Deadline: 31st July, 2025

Apply now for the September 2025 Intake
0341 8454888 | 0346 8454999
www.fespak.com


",Akbar,,"https://www.pinterest.com/pin/8022105581564058/
https://www.pinterest.com/pin/90212798781386151/",Insia,26 June,,Completed ,,"Big Goals? Start Here. University of Portsmouth brings scholarships, high employability and a UK future that works. Let FES guide your way for the Sept 2025 Intake.",,,,,,
Carousel,,IELTS ADVANCE ENGLISH WORDS ,"IELTS Advanced English Words
Swipe right to learn.

1.Elaborate = explain in detail
2.Mitigate = reduce
3.Alleviate = ease
4.Aggravate = worsen
5.Elicit = draw out
6.Engender = create
7.Exacerbate = make worse
8.Facilitate = make easier
9.Implement = put into effect
10.Anticipate = expect
11.Persevere = continue despite difficulty
12.Repudiate = reject
13.Retract = take back
14.Scrutinize = examine closely
15.Terminate = end
16.Validate = confirm
17.Exemplify = illustrate",Akbar,,,Malaika,27 June,,Completed ,,Upgrade your English proficiency and tell us which word you already know. Comment below! 👇,,,,,,
SM post,,Welcome,Shaban Welcome Post,Raheel,,,Insia,27 June,30 June,Completed ,,"Every great journey begins with a strong team and today, we’re proud to welcome a new star to ours! Welcoming Muhammad Shaban, our new Admissions Officer at FES Office, Rawalpindi. We are so excited to see the passion and drive you’ll bring to help students chase their dreams. Let’s make magic happen together! ✨🙌",,,,,,
SM post,,Canada Day,"FES logo
1st July
Happy Canada Day
www.fespak.com
",Tayyaba,,,Shumaila,28 June,,Completed ,,"Celebrating the True North! 🍁 Happy Canada Day to the land that welcomes dreamers, learners and global achievers.",Posted,,,,,
SM post,,USA Independence Day,"FES logo
4th July
USA Independence Day
www.fespak.com
",Tayyaba,Kindly share before 4th July,,Shumaila,28 June,,Completed ,,4th of July — A Celebration of Freedom. Today marks the strength of a nation and the values it stands for. Wishing a happy Independence Day to the USA 🇺🇸.,,,,,,
SM post,,Youm-e-Ashura,"FES logo
Youm-E-Ashura (in urdu)
Day of Ashura
www.fespak.com
",Raheel,,,Shumaila,2 July,4July,Completed ,,"On Youm-e-Ashura, we remember not just a day in history, but a timeless lesson in faith, sacrifice and courage. Imam Hussain (RA) stood in Karbala not for power, but for justice: choosing thirst over compromise, martyrdom over injustice. His sacrifice wasn’t just for one moment, but for every soul that seeks truth and dignity. Today, let his legacy inspire us to stand firm in the face of wrong, to speak with courage, and to live with integrity - no matter the cost. ",,,,,,
SM post,,IELTS INSTRUCTOR HIRING,Already mentioned in the group.,Akbar,,,Malaika,28th June,,Completed ,,"WE'RE HIRING! 
We want to hear from you if you're passionate about teaching and helping students achieve their international study dreams.
Position: IELTS Instructor
Location: FES Mardan Branch
Perks: Competitive Salary | Professional Environment | Career Growth

Email Your CV, & Let's Connect.

",Posted,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
SM post,,FES UAE,"FES, 22 Years & Portsmouth Logo
1st and 3rd grid should compliment each other

Grid 1
Why Choose University of Portsmouth?

Ratings Logos in a creative way (Use 1st, 2nd, 4th, 6th, 7th, 8th, 9th, 10th, 11th)
https://www.port.ac.uk/about-us/our-story/our-rankings 

Save On Rent 
Save On Living Costs 
Save On Transport

Apply Now for September 2025 Intake

Contact us 
+971 50 551 9464 
dubai@fesgateway.com
www.fesgateway.com

Grid 2
FES, 22 Years & Portsmouth Logo
Want To Study Abroad?
Find Your Perfect Fit At
University of Portsmouth
September 2025 Intake Edition

Contact us 
+971 50 551 9464 
dubai@fesgateway.com
www.fesgateway.com



Grid 3
FES, 22 Years & Portsmouth Logo
Deadlines You Must Know (Highlight)
Portsmouth Campus

(You can make a contrast table if it suits)
Pakistani Students
Application Deadline 
7th July, 2025
Deposit Deadline
21st July 2025

Indian Students
Application Deadline
28th July 2025
Deposit Deadline
11th August 2025

Don’t miss your chance to avail 
GBP 2500 Automatic Scholarship (Highlight)

Contact us 
+971 50 551 9464 
dubai@fesgateway.com
www.fesgateway.com
",Tayyaba,light dark grids again,"https://www.pinterest.com/pin/1120551951043020293/
https://www.pinterest.com/pin/873135446538837013/
https://www.pinterest.com/pin/51580358228117340/",Insia,30th June,,Completed ,,"Not every university fits your requirements but Portsmouth just might. Let us help you find your perfect academic match this September. Because your future deserves the right start.",,,,,,
Banners,"Width 31.5 inches
Height 94 inches",Head Office Panaflex,"Dreaming of Study Abroad?
Visit 
FES Head Office 
This Way ---> 

Free Counselling
Top Global Universities
Scholarships & perks
Visa Support

Office # 31/2, Upper Ground, Mall of Lahore,
+92 346 8454546
+92 346 8454222

www.fespak.com",Tayyaba,For Printing,,Rabab,30th June,30th June,Completed ,,None,No need to post,,,,,
Logo,,Logo/DP,Black FES Logo,Akbar,,,Insia,30th June,30th June,Completed ,,None,,,,,,
SM post,,Collage,CEO Peshawar Visit Collage,Tayyaba,,,Shumaila,30th June,30th June,Completed ,,"A true leader leads by example. It’s always a privilege to sit with a leader who not only sets the vision but walks alongside the team to achieve it. CEO FES - Syed Tehsin Shah visited FES Office, Peshawar and had a meaningful conversation with the team. His passion for empowering students and teams alike sets the tone for excellence across FES. Grateful for the leadership that drives FES forward.",Posted,,,,,
